iter	Passed	Remaining
471	703	787
472	705	785
473	706	783
474	706	781
475	708	779
476	709	778
477	710	776
478	712	774
479	713	772
480	714	770
481	715	769
482	717	767
483	718	765
484	719	764
485	720	762
486	722	760
487	723	759
488	724	757
489	726	755
490	727	753
491	728	751
492	729	750
493	731	748
494	732	747
495	733	745
496	734	743
497	735	741
498	736	739
499	738	738
500	739	736
501	740	734
502	741	732
503	742	730
504	743	728
505	744	726
506	746	725
507	747	723
508	748	721
509	749	720
510	750	718
511	752	716
512	753	715
513	754	713
514	756	711
515	757	710
516	758	708
517	759	707
518	761	705
519	762	703
520	763	702
521	764	700
522	765	698
523	767	696
524	768	695
525	769	693
526	771	692
527	772	690
528	773	689
529	775	687
530	777	686
531	778	684
532	779	683
533	781	681
534	782	680
535	784	678
536	785	677
537	787	675
538	788	674
539	789	672
540	790	671
541	792	669
542	793	667
543	794	665
544	795	663
545	796	661
546	797	660
547	798	658
548	799	656
549	800	654
550	801	653
551	802	651
552	803	649
553	804	647
554	805	646
555	806	644
556	807	642
557	808	640
558	809	638
559	810	636
560	811	635
561	812	633
562	813	631
563	815	630
564	816	628
565	817	626
566	817	624
567	818	622
568	820	621
569	821	619
570	822	617
571	823	616
572	824	614
573	825	612
574	826	610
575	827	609
576	828	607
577	829	605
578	830	603
579	831	602
580	832	600
581	833	598
582	834	596
583	835	595
584	836	593
585	837	591
586	838	589
587	839	587
588	839	586
589	841	584
590	842	582
591	843	581
592	844	579
593	845	577
594	846	575
595	847	574
596	848	572
597	849	571
598	850	569
599	851	567
600	852	566
601	853	564
602	854	562
603	855	561
604	856	559
605	857	557
606	858	556
607	859	554
608	860	552
609	862	551
610	863	549
611	864	548
612	865	546
613	866	544
614	867	543
615	868	541
616	869	540
617	871	538
618	872	536
619	873	535
620	874	533
621	875	532
622	876	530
623	877	528
624	879	527
625	880	525
626	881	524
627	882	522
628	883	521
629	884	519
630	885	518
631	886	516
632	887	514
633	888	513
634	889	511
635	890	509
636	891	507
637	892	506
638	893	504
639	894	503
640	895	501
641	896	500
642	897	498
643	898	496
644	899	495
645	900	493
646	901	492
647	902	490
648	903	488
649	904	487
650	906	485
651	907	484
652	907	482
653	908	480
654	909	479
655	910	477
656	911	476
657	912	474
658	914	473
659	915	471
660	916	469
661	917	468
662	918	466
663	918	465
664	920	463
665	921	461
666	922	460
667	923	459
668	924	457
669	925	455
670	926	454
671	926	452
672	927	450
673	928	449
674	929	447
675	931	446
676	932	444
677	933	443
678	934	441
679	935	440
680	936	438
681	937	437
682	938	435
683	939	434
684	940	432
685	941	431
686	942	429
687	944	428
688	945	426
689	946	425
690	947	423
691	947	421
692	948	420
693	950	418
694	951	417
695	952	416
696	953	414
697	954	412
698	955	411
699	956	409
700	957	408
701	958	407
702	960	405
703	961	404
704	962	402
705	963	401
706	964	399
707	965	398
708	966	396
709	968	395
710	969	394
711	970	392
712	971	391
713	972	389
714	974	388
715	975	386
716	976	385
717	977	384
718	979	382
719	981	381
720	982	380
721	983	378
722	985	377
723	986	376
724	988	374
725	989	373
726	990	371
727	991	370
728	992	369
729	993	367
730	995	366
731	997	365
732	998	363
733	999	362
734	1000	360
735	1001	359
736	1002	357
737	1004	356
738	1005	354
739	1006	353
740	1007	351
741	1008	350
742	1009	349
743	1010	347
744	1011	346
745	1012	344
746	1013	343
747	1015	341
748	1016	340
749	1017	339
750	1019	337
751	1020	336
752	1022	335
753	1024	334
754	1026	332
755	1027	331
756	1028	330
757	1030	329
758	1031	327
759	1033	326
760	1034	324
761	1035	323
762	1037	322
763	1039	321
764	1040	319
765	1042	318
766	1043	317
767	1045	315
768	1047	314
769	1048	313
770	1049	311
771	1050	310
772	1052	309
773	1053	307
774	1054	306
775	1056	304
776	1057	303
777	1058	301
778	1059	300
779	1060	299
780	1061	297
781	1063	296
782	1064	294
783	1065	293
784	1066	292
785	1067	290
786	1068	289
787	1069	287
788	1071	286
789	1072	285
790	1073	283
791	1074	282
792	1075	280
793	1077	279
794	1078	278
795	1079	276
796	1080	275
797	1081	273
798	1082	272
799	1083	270
800	1084	269
801	1085	268
802	1086	266
803	1088	265
804	1089	263
805	1090	262
806	1091	261
807	1092	259
808	1093	258
809	1094	256
810	1095	255
811	1096	253
812	1097	252
813	1099	251
814	1100	249
815	1101	248
816	1102	246
817	1103	245
818	1104	244
819	1105	242
820	1106	241
821	1107	239
822	1107	238
823	1108	236
824	1110	235
825	1111	234
826	1112	232
827	1113	231
828	1114	229
829	1115	228
830	1116	227
831	1117	225
832	1118	224
833	1120	222
834	1120	221
835	1121	220
836	1122	218
837	1123	217
838	1124	215
839	1125	214
840	1126	213
841	1127	211
842	1128	210
843	1129	208
844	1130	207
845	1131	205
846	1132	204
847	1133	203
848	1134	201
849	1135	200
850	1136	199
851	1137	197
852	1139	196
853	1140	194
854	1141	193
855	1142	192
856	1143	190
857	1144	189
858	1145	187
859	1146	186
860	1146	185
861	1148	183
862	1149	182
863	1149	180
864	1150	179
865	1151	178
866	1152	176
867	1153	175
868	1154	174
869	1155	172
870	1156	171
871	1157	169
872	1158	168
873	1159	167
874	1160	165
875	1161	164
876	1162	163
877	1163	161
878	1164	160
879	1165	158
880	1166	157
881	1168	156
882	1169	154
883	1170	153
884	1171	152
885	1172	150
886	1173	149
887	1174	148
888	1175	146
889	1177	145
890	1178	144
891	1178	142
892	1180	141
893	1180	140
894	1181	138
895	1183	137
896	1184	135
897	1185	134
898	1186	133
899	1187	131
900	1188	130
901	1189	129
902	1190	127
903	1192	126
904	1193	125
905	1194	123
906	1195	122
907	1196	121
908	1197	119
909	1198	118
910	1199	117
911	1200	115
912	1201	114
913	1202	113
914	1203	111
915	1204	110
916	1205	109
917	1206	107
918	1207	106
919	1208	105
920	1209	103
921	1210	102
922	1211	101
923	1212	99
924	1213	98
925	1214	97
926	1215	95
927	1216	94
928	1217	93
929	1218	91
930	1219	90
931	1220	89
932	1221	87
933	1223	86
934	1224	85
935	1225	83
936	1226	82
937	1227	81
938	1228	79
939	1229	78
940	1230	77
941	1231	75
942	1232	74
943	1234	73
944	1235	71
945	1236	70
946	1237	69
947	1238	67
948	1239	66
949	1240	65
950	1241	63
951	1242	62
952	1244	61
953	1245	60
954	1246	58
955	1247	57
956	1248	56
957	1249	54
958	1251	53
959	1252	52
960	1253	50
961	1254	49
962	1255	48
963	1257	46
964	1258	45
965	1259	44
966	1260	43
967	1261	41
968	1261	40
969	1262	39
970	1263	37
971	1265	36
972	1266	35
973	1267	33
974	1268	32
975	1269	31
976	1270	29
977	1271	28
978	1272	27
979	1273	25
980	1275	24
981	1276	23
982	1277	22
983	1278	20
984	1279	19
985	1280	18
986	1281	16
987	1282	15
988	1283	14
989	1284	12
990	1285	11
991	1286	10
992	1287	9
993	1288	7
994	1289	6
995	1290	5
996	1291	3
997	1292	2
998	1293	1
999	1294	0
